Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1037       3639       0          2080       3.51
structure_refs      183        79         0          11         0.43
biomes              183        7083       0          1222       38.70
terrain             183        1705       2          181        9.32
surface             183        827        0          45         4.52
air_carvers         183        633        0          68         3.46
fluid_carvers       183        12         0          1          0.07
decoration          98         2386       2          994        24.35
mob_spawns          17         44         0          44         2.59
structure_searches  0          0          0          0          0.00
Sum                                                             86.94
