Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1422       4355       0          2087       3.06
structure_refs      180        198        0          116        1.10
biomes              180        1672       0          1006       9.29
terrain             180        2226       2          120        12.37
surface             180        773        0          75         4.29
air_carvers         180        733        0          128        4.07
fluid_carvers       180        15         0          4          0.08
decoration          84         1464       2          363        17.43
mob_spawns          4          5          0          5          1.25
structure_searches  0          0          0          0          0.00
Sum                                                             52.95
