Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    925        3763       0          2112       4.07
structure_refs      134        52         0          3          0.39
biomes              134        407        0          362        3.04
terrain             134        1284       2          144        9.58
surface             134        461        0          35         3.44
air_carvers         134        436        0          52         3.25
fluid_carvers       134        8          0          0          0.06
decoration          65         761        2          102        11.71
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             35.54
