Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    937        3516       0          1981       3.75
structure_refs      147        67         0          5          0.46
biomes              147        986        0          903        6.71
terrain             147        1706       2          122        11.61
surface             147        414        0          32         2.82
air_carvers         147        476        0          56         3.24
fluid_carvers       147        10         0          1          0.07
decoration          70         798        2          282        11.40
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             40.04
