Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    6129       2539       0          1716       0.41
structure_refs      2360       695        0          158        0.29
biomes              2360       26917      0          2664       11.41
terrain             2359       19369      2          184        8.21
surface             2358       5178       0          171        2.20
air_carvers         2358       4915       0          99         2.08
fluid_carvers       2359       368        0          76         0.16
decoration          1979       30217      1          818        15.27
mob_spawns          1627       186        0          35         0.11
structure_searches  1          1089       1089       1089       1089.00
Sum                                                             1129.14
