Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    925        4845       0          2577       5.24
structure_refs      134        87         0          15         0.65
biomes              134        438        0          381        3.27
terrain             134        1513       2          133        11.29
surface             134        782        1          105        5.84
air_carvers         134        397        0          37         2.96
fluid_carvers       134        19         0          5          0.14
decoration          65         1041       2          192        16.02
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             45.40
