Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1429       3754       0          1897       2.63
structure_refs      177        107        0          38         0.60
biomes              177        1917       0          789        10.83
terrain             177        1652       2          143        9.33
surface             177        790        0          43         4.46
air_carvers         177        587        0          35         3.32
fluid_carvers       177        9          0          1          0.05
decoration          82         1319       2          345        16.09
mob_spawns          2          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             47.31
