Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    925        2306       0          1281       2.49
structure_refs      134        23         0          1          0.17
biomes              134        14         0          0          0.10
terrain             134        1141       2          166        8.51
surface             134        211        0          13         1.57
air_carvers         134        142        0          4          1.06
fluid_carvers       134        2          0          0          0.01
decoration          65         565        1          161        8.69
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             22.63
