Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    5378       8884       0          1875       1.65
structure_refs      2018       552        0          98         0.27
biomes              2018       52559      0          9769       26.05
terrain             2018       14782      2          175        7.33
surface             2017       4585       0          358        2.27
air_carvers         2014       4907       0          948        2.44
fluid_carvers       2013       1751       0          792        0.87
decoration          1676       21136      1          870        12.61
mob_spawns          1360       193        0          91         0.14
structure_searches  0          0          0          0          0.00
Sum                                                             53.63
