Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    8821       10160      0          1532       1.15
structure_refs      4505       824        0          12         0.18
biomes              4503       11051      0          1034       2.45
terrain             4495       28893      2          1047       6.43
surface             4494       6683       0          232        1.49
air_carvers         4493       7519       0          98         1.67
fluid_carvers       4493       125        0          20         0.03
decoration          4039       23431      1          480        5.80
mob_spawns          3606       527        0          74         0.15
structure_searches  0          0          0          0          0.00
Sum                                                             19.35
