Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1421       3670       0          2177       2.58
structure_refs      163        56         0          3          0.34
biomes              163        1676       0          449        10.28
terrain             163        1534       2          60         9.41
surface             163        466        0          29         2.86
air_carvers         163        499        0          91         3.06
fluid_carvers       163        9          0          1          0.06
decoration          74         1411       3          528        19.07
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             47.66
