Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    925        3691       0          1702       3.99
structure_refs      134        121        0          57         0.90
biomes              134        43         0          2          0.32
terrain             134        1573       4          89         11.74
surface             134        804        1          80         6.00
air_carvers         134        678        0          99         5.06
fluid_carvers       134        9          0          0          0.07
decoration          65         865        3          155        13.31
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             41.39
